Title,Streaming On,Price,imdb_id
Dangal,Not Available,Not Available,Not Available
The Wolf Of Wall Street,Not Available,Not Available,Not Available
Batman Begins,Netflix,Subscription,tt0372784
Batman Begins,Max,Subscription,tt0372784
Batman Begins,Apple TV,Subscription,tt0372784
Batman Begins,Google Play Movies & TV,Subscription,tt0372784
Green Book,Not Available,Not Available,Not Available
Some Like It Hot,Not Available,Not Available,Not Available
Judgment At Nuremberg,Not Available,Not Available,Not Available
The Kid,Not Available,Not Available,Not Available
The Father,Apple TV,"From  25.000,00",tt10272386
Shutter Island,Google Play Movies & TV,"From  25.000,00",tt1130884
Shutter Island,Apple TV,"From  25.000,00",tt1130884
All About Eve,Not Available,Not Available,Not Available
There Will Be Blood,Not Available,Not Available,Not Available
Jurassic Park,Amazon Prime Video,Subscription,tt0107290
Jurassic Park,Vidio,Subscription,tt0107290
Jurassic Park,Apple TV,Subscription,tt0107290
Jurassic Park,Google Play Movies & TV,Subscription,tt0107290
The Sixth Sense,Not Available,Not Available,Not Available
Ran,Not Available,Not Available,Not Available
Pan'S Labyrinth,Not Available,Not Available,Not Available
No Country For Old Men,Google Play Movies & TV,"From  25.000,00",tt0477348
No Country For Old Men,Apple TV,"From  25.000,00",tt0477348
The Thing,Not Available,Not Available,Not Available
A Beautiful Mind,Google Play Movies & TV,"From  25.000,00",tt0268978
A Beautiful Mind,Apple TV,"From  25.000,00",tt0268978
Kill Bill: Vol. 1,Not Available,Not Available,Not Available
The Wild Robot,Not Available,Not Available,Not Available
The Treasure Of The Sierra Madre,Apple TV,"From  25.000,00",tt0040897
Yojimbo,Not Available,Not Available,Not Available
Finding Nemo,Not Available,Not Available,Not Available
Monty Python And The Holy Grail,Apple TV,"From  25.000,00",tt0071853
The Elephant Man,Not Available,Not Available,Not Available
Rashomon,Not Available,Not Available,Not Available
Dial M For Murder,Not Available,Not Available,Not Available
Gone With The Wind,Google Play Movies & TV,"From  25.000,00",tt0031381
Chinatown,Not Available,Not Available,Not Available
The Secret In Their Eyes,Not Available,Not Available,Not Available
"Lock, Stock And Two Smoking Barrels",Not Available,Not Available,Not Available
Inside Out,Not Available,Not Available,Not Available
"Three Billboards Outside Ebbing, Missouri",Not Available,Not Available,Not Available
Raging Bull,Apple TV,"From  25.000,00",tt0081398
Raging Bull,Google Play Movies & TV,"From  25.000,00",tt0081398
Klaus,Netflix,Subscription,tt4729430
Trainspotting,Not Available,Not Available,Not Available
The Bridge On The River Kwai,Apple TV,"From  25.000,00",tt0050212
Catch Me If You Can,Vidio,Subscription,tt0264464
Catch Me If You Can,Google Play Movies & TV,Subscription,tt0264464
Catch Me If You Can,Apple TV,Subscription,tt0264464
Fargo,Apple TV,"From  25.000,00",tt0116282
Warrior,Apple TV,"From  25.000,00",tt1291584
Warrior,Google Play Movies & TV,"From  25.000,00",tt1291584
Spider-Man: No Way Home,Netflix,Subscription,tt10872600
Spider-Man: No Way Home,Google Play Movies & TV,Subscription,tt10872600
Spider-Man: No Way Home,Apple TV,Subscription,tt10872600
Harry Potter And The Deathly Hallows: Part 2,Max,Subscription,tt1201607
Harry Potter And The Deathly Hallows: Part 2,Google Play Movies & TV,Subscription,tt1201607
Harry Potter And The Deathly Hallows: Part 2,Apple TV,Subscription,tt1201607
Million Dollar Baby,Not Available,Not Available,Not Available
My Neighbour Totoro,Netflix,Subscription,tt0096283
Children Of Heaven,Apple TV,"From  25.000,00",tt0118849
Barry Lyndon,Google Play Movies & TV,"From  25.000,00",tt0072684
Barry Lyndon,Apple TV,"From  25.000,00",tt0072684
12 Years A Slave,Not Available,Not Available,Not Available
Blade Runner,Not Available,Not Available,Not Available
Before Sunrise,Google Play Movies & TV,"From  28.000,00",tt0112471
The Grand Budapest Hotel,Not Available,Not Available,Not Available
Dead Poets Society,Not Available,Not Available,Not Available
Gone Girl,Vidio,Subscription,tt2267998
Memories Of Murder,Not Available,Not Available,Not Available
In The Name Of The Father,Not Available,Not Available,Not Available
The Gold Rush,Not Available,Not Available,Not Available
Maharaja,Netflix,Subscription,tt26548265
"Monsters, Inc.",Not Available,Not Available,Not Available
Wild Tales,Not Available,Not Available,Not Available
Ratatouille,Not Available,Not Available,Not Available
The Deer Hunter,Not Available,Not Available,Not Available
Jaws,Netflix,Subscription,tt0073195
Jaws,Amazon Prime Video,Subscription,tt0073195
Sherlock Jr.,Not Available,Not Available,Not Available
The General,Not Available,Not Available,Not Available
Mary And Max,Not Available,Not Available,Not Available
On The Waterfront,Apple TV,"From  25.000,00",tt0047296
On The Waterfront,Google Play Movies & TV,"From  25.000,00",tt0047296
The Wages Of Fear,Netflix,Subscription,tt27487473
Le Mans '66,Not Available,Not Available,Not Available
Wild Strawberries,Not Available,Not Available,Not Available
Mr. Smith Goes To Washington,Apple TV,"From  25.000,00",tt0031679
The Third Man,Not Available,Not Available,Not Available
Logan,Not Available,Not Available,Not Available
Tokyo Story,Not Available,Not Available,Not Available
The Big Lebowski,Not Available,Not Available,Not Available
The Seventh Seal,Not Available,Not Available,Not Available
Room,Not Available,Not Available,Not Available
Spotlight,Not Available,Not Available,Not Available
The Terminator,Apple TV,"From  25.000,00",tt0088247
Hotel Rwanda,Not Available,Not Available,Not Available
Platoon,Apple TV,"From  25.000,00",tt0091763
Pirates Of The Caribbean: The Curse Of The Black Pearl,Not Available,Not Available,Not Available
La Haine,Not Available,Not Available,Not Available
Jai Bhim,Amazon Prime Video,Subscription,tt15097216
Before Sunset,Google Play Movies & TV,"From  28.000,00",tt0381681
The Passion Of Joan Of Arc,Not Available,Not Available,Not Available
The Best Years Of Our Lives,Not Available,Not Available,Not Available
The Exorcist,Google Play Movies & TV,"From  25.000,00",tt0070047
The Exorcist,Apple TV,"From  25.000,00",tt0070047
Rush,Not Available,Not Available,Not Available
A Man Escaped,Not Available,Not Available,Not Available
The Incredibles,Not Available,Not Available,Not Available
The Wizard Of Oz,Google Play Movies & TV,"From  25.000,00",tt0032138
The Wizard Of Oz,Apple TV,"From  25.000,00",tt0032138
Network,Apple TV,"From  25.000,00",tt0074958
Stand By Me,Netflix,Subscription,tt0092005
Stand By Me,Apple TV,Subscription,tt0092005
Hachi: A Dog'S Tale,Not Available,Not Available,Not Available
The Sound Of Music,Not Available,Not Available,Not Available
My Father And My Son,Not Available,Not Available,Not Available
To Be Or Not To Be,Not Available,Not Available,Not Available
The Handmaiden,Not Available,Not Available,Not Available
Into The Wild,Google Play Movies & TV,"From  25.000,00",tt0758758
Into The Wild,Apple TV,"From  25.000,00",tt0758758
The Battle Of Algiers,Not Available,Not Available,Not Available
The Iron Giant,Apple TV,"From  25.000,00",tt0129167
The Grapes Of Wrath,Not Available,Not Available,Not Available
Groundhog Day,Apple TV,"From  25.000,00",tt0107048
Groundhog Day,Google Play Movies & TV,"From  25.000,00",tt0107048
Amores Perros,Not Available,Not Available,Not Available
Rebecca,Netflix,Subscription,tt2235695
The Help,Not Available,Not Available,Not Available
Cool Hand Luke,Apple TV,"From  25.000,00",tt0061512
Cool Hand Luke,Google Play Movies & TV,"From  25.000,00",tt0061512
A Silent Voice,Netflix,Subscription,tt5323662
"Paris, Texas",Not Available,Not Available,Not Available
