imdb_id,title
tt0086879,Amadeus
tt0114709,Toy Story
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
tt0364569,Oldboy
tt0169547,American Beauty
tt4154796,Avengers: Endgame
tt0082096,Das Boot
tt0119217,Good Will Hunting
tt0112573,Braveheart
tt0119698,Princess Mononoke
tt5311514,Your Name.
tt7286456,Joker
tt0057565,High and Low
tt1187043,3 Idiots
tt0087843,Once Upon a Time in America
tt0045152,Singin' in the Rain
tt8267604,Capernaum
tt0091251,Come and See
tt0180093,Requiem for a Dream
tt0435761,Toy Story 3
tt0086190,Star Wars: Episode VI - Return of the Jedi
tt2106476,The Hunt
tt0338013,Eternal Sunshine of the Spotless Mind
tt0044741,Ikiru
tt0062622,2001: A Space Odyssey
tt0105236,Reservoir Dogs
tt0056172,Lawrence of Arabia
tt0053604,The Apartment
tt1255953,Incendies
tt0086250,Scarface
tt0053125,North by Northwest
tt0036775,Double Indemnity
tt0033467,Citizen Kane
tt0022100,M
tt0052357,Vertigo
tt0113277,Heat
tt0093058,Full Metal Jacket
tt15398776,Oppenheimer
tt1049413,Up
tt0211915,Amélie
tt0066921,A Clockwork Orange
tt0056592,To Kill a Mockingbird
tt1832382,A Separation
tt0070735,The Sting
tt0095016,Die Hard
tt0986264,Like Stars on Earth
tt0097576,Indiana Jones and the Last Crusade
tt0017136,Metropolis
tt0208092,Snatch
tt8579674,1917
tt0119488,L.A. Confidential
tt0040522,Bicycle Thieves
tt0363163,Downfall
tt8503618,Hamilton
tt0075314,Taxi Driver
tt5074352,Dangal
tt0993846,The Wolf of Wall Street
tt0372784,Batman Begins
tt0059578,For a Few Dollars More
tt6966692,Green Book
tt0053291,Some Like It Hot
tt0120382,The Truman Show
tt0055031,Judgment at Nuremberg
tt0012349,The Kid
tt10272386,The Father
tt1130884,Shutter Island
tt0042192,All About Eve
tt0469494,There Will Be Blood
tt0107290,Jurassic Park
tt0112641,Casino
tt1745960,Top Gun: Maverick
tt0167404,The Sixth Sense
tt0089881,Ran
tt0457430,Pan's Labyrinth
tt0477348,No Country for Old Men
tt0105695,Unforgiven
tt0084787,The Thing
tt0268978,A Beautiful Mind
tt0266697,Kill Bill: Vol. 1
tt29623480,The Wild Robot
tt0040897,The Treasure of the Sierra Madre
tt0055630,Yojimbo
tt1392214,Prisoners
tt0057115,The Great Escape
tt0266543,Finding Nemo
tt0071853,Monty Python and the Holy Grail
tt0347149,Howl's Moving Castle
tt0080678,The Elephant Man
tt0042876,Rashomon
tt0046912,Dial M for Murder
tt0031381,Gone with the Wind
tt0071315,Chinatown
tt1305806,The Secret in Their Eyes
tt0120735,"Lock, Stock and Two Smoking Barrels"
tt2096673,Inside Out
tt0434409,V for Vendetta
tt5027774,"Three Billboards Outside Ebbing, Missouri"
tt0081398,Raging Bull
tt4729430,Klaus
tt0117951,Trainspotting
tt0050212,The Bridge on the River Kwai
tt0264464,Catch Me If You Can
tt0116282,Fargo
tt1291584,Warrior
tt10872600,Spider-Man: No Way Home
tt1205489,Gran Torino
tt1201607,Harry Potter and the Deathly Hallows: Part 2
tt0405159,Million Dollar Baby
tt0096283,My Neighbor Totoro
tt1392190,Mad Max: Fury Road
tt0052618,Ben-Hur
tt0118849,Children of Heaven
tt0072684,Barry Lyndon
tt2024544,12 Years a Slave
tt0083658,Blade Runner
tt0112471,Before Sunrise
tt2278388,The Grand Budapest Hotel
tt2119532,Hacksaw Ridge
tt0097165,Dead Poets Society
tt2267998,Gone Girl
tt0353969,Memories of Murder
tt0107207,In the Name of the Father
tt0015864,The Gold Rush
tt26548265,Maharaja
tt0198781,"Monsters, Inc."
tt3011894,Wild Tales
tt0382932,Ratatouille
tt0077416,The Deer Hunter
tt0892769,How to Train Your Dragon
tt0073195,Jaws
tt0015324,Sherlock Jr.
tt0017925,The General
tt0978762,Mary and Max
tt0047296,On the Waterfront
tt0046268,The Wages of Fear
tt1950186,Ford v Ferrari
tt0050986,Wild Strawberries
tt0031679,Mr. Smith Goes to Washington
tt0041959,The Third Man
tt3315342,Logan
tt0075148,Rocky
tt0046438,Tokyo Story
tt0118715,The Big Lebowski
tt0050976,The Seventh Seal
tt3170832,Room
tt1895587,Spotlight
tt0088247,The Terminator
tt0395169,Hotel Rwanda
tt0091763,Platoon
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
tt0113247,La haine
tt15097216,Jai Bhim
tt0381681,Before Sunset
tt0019254,The Passion of Joan of Arc
tt0036868,The Best Years of Our Lives
tt0070047,The Exorcist
tt0049902,A Man Escaped
tt1979320,Rush
tt0317705,The Incredibles
tt0032138,The Wizard of Oz
tt0074958,Network
tt0092005,Stand by Me
tt1028532,Hachi: A Dog's Tale
tt0059742,The Sound of Music
tt0476735,My Father and My Son
tt0035446,To Be or Not to Be
tt4016934,The Handmaiden
tt0758758,Into the Wild
tt0058946,The Battle of Algiers
tt0129167,The Iron Giant
tt0032551,The Grapes of Wrath
tt0107048,Groundhog Day
tt0245712,Amores Perros
tt0032976,Rebecca
tt1454029,The Help
tt0061512,Cool Hand Luke
tt5323662,A Silent Voice: The Movie
