imdb_id,actor
tt1130884,Mark Ruffalo
tt0042192,Bette Davis
tt0042192,Anne Baxter
tt0042192,George Sanders
tt0469494,Daniel Day-Lewis
tt0469494,Paul Dano
tt0469494,Ciarán Hinds
tt0107290,Sam Neill
tt0107290,Laura Dern
tt0107290,Jeff Goldblum
tt0112641,Robert De Niro
tt0112641,Sharon Stone
tt0112641,Joe Pesci
tt1745960,Tom Cruise
tt1745960,Jennifer Connelly
tt1745960,Miles Teller
tt0167404,Bruce Willis
tt0167404,Haley Joel Osment
tt0167404,Toni Collette
tt0089881,Tatsuya Nakadai
tt0089881,Akira Terao
tt0089881,Jinpachi Nezu
tt0457430,Ivana Baquero
tt0457430,Ariadna Gil
tt0457430,Sergi López
tt0477348,Tommy Lee Jones
tt0477348,Javier Bardem
tt0477348,Josh Brolin
tt0105695,Clint Eastwood
tt0105695,Gene Hackman
tt0105695,Morgan Freeman
tt0084787,Kurt Russell
tt0084787,Wilford Brimley
tt0084787,Keith David
tt0268978,Russell Crowe
tt0268978,Ed Harris
tt0268978,Jennifer Connelly
tt0266697,Uma Thurman
tt0266697,David Carradine
tt0266697,Daryl Hannah
tt29623480,Lupita Nyong'o
tt29623480,Pedro Pascal
tt29623480,Kit Connor
tt0040897,Humphrey Bogart
tt0040897,Walter Huston
tt0040897,Tim Holt
tt0055630,Toshirô Mifune
tt0055630,Eijirô Tôno
tt0055630,Tatsuya Nakadai
tt1392214,Hugh Jackman
tt1392214,Jake Gyllenhaal
tt1392214,Viola Davis
tt0057115,Steve McQueen
tt0057115,James Garner
tt0057115,Richard Attenborough
tt0266543,Albert Brooks
tt0266543,Ellen DeGeneres
tt0266543,Alexander Gould
tt0071853,Graham Chapman
tt0071853,John Cleese
tt0071853,Eric Idle
tt0347149,Chieko Baishô
tt0347149,Takuya Kimura
tt0347149,Tatsuya Gashûin
tt0080678,Anthony Hopkins
tt0080678,John Hurt
tt0080678,Anne Bancroft
tt0042876,Toshirô Mifune
tt0042876,Machiko Kyô
tt0042876,Masayuki Mori
tt0046912,Ray Milland
tt0046912,Grace Kelly
tt0046912,Robert Cummings
tt0031381,Clark Gable
tt0031381,Vivien Leigh
tt0031381,Thomas Mitchell
tt0071315,Jack Nicholson
tt0071315,Faye Dunaway
tt0071315,John Huston
tt1305806,Ricardo Darín
tt1305806,Soledad Villamil
tt1305806,Pablo Rago
tt0120735,Jason Flemyng
tt0120735,Dexter Fletcher
tt0120735,Nick Moran
