Title,Streaming On,Price,IMDb_URL
Requiem for a dream,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0180093
Toy story 3,Not Available,Not Available,Not Available
Star wars: episode vi - return of the jedi,Not Available,Not Available,Not Available
The hunt,Netflix,Subscription,https://www.imdb.com/title/tt8244784
The hunt,Apple TV,Subscription,https://www.imdb.com/title/tt8244784
The hunt,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt8244784
Eternal sunshine of the spotless mind,Netflix,Subscription,
Eternal sunshine of the spotless mind,iQIYI,Subscription,
Eternal sunshine of the spotless mind,Amazon Prime Video,Subscription,
Ikiru,Not Available,Not Available,Not Available
2001: a space odyssey,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0062622
2001: a space odyssey,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0062622
Reservoir dogs,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0105236
Lawrence of arabia,Netflix,Subscription,https://www.imdb.com/title/tt0056172
Lawrence of arabia,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0056172
Lawrence of arabia,Apple TV,Subscription,https://www.imdb.com/title/tt0056172
The apartment,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0053604
Incendies,Not Available,Not Available,Not Available
Scarface,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt0086250
Scarface,Vidio,Subscription,https://www.imdb.com/title/tt0086250
North by northwest,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0053125
North by northwest,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0053125
Double indemnity,Not Available,Not Available,Not Available
Citizen kane,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0033467
Citizen kane,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0033467
M,Not Available,Not Available,Not Available
Vertigo,Not Available,Not Available,Not Available
Heat,Vidio,Subscription,https://www.imdb.com/title/tt0113277
Full metal jacket,Google Play Movies & TV,"From Rp 28.000,00",https://www.imdb.com/title/tt0093058
Oppenheimer,Max,Subscription,https://www.imdb.com/title/tt15398776
Oppenheimer,Apple TV,Subscription,https://www.imdb.com/title/tt15398776
Oppenheimer,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt15398776
Up,Not Available,Not Available,Not Available
Amélie,Not Available,Not Available,Not Available
A clockwork orange,Not Available,Not Available,Not Available
To kill a mockingbird,Not Available,Not Available,Not Available
A separation,Not Available,Not Available,Not Available
The sting,Not Available,Not Available,Not Available
Die hard,Not Available,Not Available,Not Available
Indiana jones and the last crusade,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0097576
Indiana jones and the last crusade,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0097576
Like stars on earth,Not Available,Not Available,Not Available
